cost,temperature
47086,"[-10, -10]"
46960,"[-10, -10]"
46960,"[-10, -10]"
46960,"[-10, -10]"
46690,"[-10, -10]"
46105,"[-10, -10]"
46303,"[-10, -10]"
46303,"[-10, -10]"
46303,"[-10, -10]"
46303,"[-10, -10]"
45817,"[-10, -10]"
45817,"[-10, -10]"
45637,"[-10, -10]"
45700,"[-10, -10]"
45835,"[-10, -10]"
46051,"[-10, -10]"
45529,"[-10, -10]"
45520,"[-10, -10]"
45448,"[-10, -10]"
45448,"[-10, -10]"
45457,"[-10, -10]"
45466,"[-10, -10]"
45655,"[-10, -10]"
45655,"[-10, -10]"
45655,"[-10, -10]"
45538,"[-10, -10]"
45592,"[-10, -10]"
45952,"[-10, -10]"
45952,"[-10, -10]"
45952,"[-10, -10]"
46096,"[-10, -10]"
46096,"[-10, -10]"
46096,"[-10, -10]"
45988,"[-10, -10]"
46051,"[-10, -10]"
46033,"[-10, -10]"
46033,"[-10, -10]"
46024,"[-10, -10]"
46024,"[-10, -10]"
46069,"[-10, -10]"
45916,"[-10, -10]"
45529,"[-10, -10]"
45466,"[-10, -10]"
45232,"[-10, -10]"
45232,"[-10, -10]"
45367,"[-10, -10]"
45403,"[-10, -10]"
45502,"[-10, -10]"
45502,"[-10, -10]"
45502,"[-10, -10]"
45394,"[-10, -10]"
